pojazd_id,marka,kategoria,typ,model,wariant,wersja,rodzaj,podrodzaj,przeznaczenie,pochodzenie,rodzaj_tab_znamionowej,rok_produkcji,sposob_produkcji,data_pierwszej_rej,data_rejestracji_ost,data_pierwszej_rej_za_granica,pojemnosc_silnika,moc_do_masy,moc_silnika,moc_silnika_hybrydowego,masa_wlasna,masa_pgj,dopuszczalna_masa_calkowita,maksymalna_masa_calkowita,dopuszczalna_ladownosc_calk,maksymalna_ladownosc_calk,dopuszczalna_masa_ciag_zesp,liczba_osi,naj_dopuszczalny_nacisk_osi,naj_maksymalny_nacisk_osi,max_masa_przyczepy_z_hamulcem,max_masa_przyczepy_bez_ham,liczba_miejsc_ogolem,liczba_miejsc_siedzacych,liczba_miejsc_stojacych,rodzaj_paliwa,rodzaj_paliwa_alternatywnego,rodzaj_paliwa_alternatywnego2,sr_zuzycie_pal,rodzaj_zawieszenia,radar,hak,kierownica_polozenie,kierownica_z_prawej,katalizator,producent_podstawowy,kod_ident,rozstaw_osi_kierowanej,rozstaw_kol_max,rozstaw_kol_sred,rozstaw_kol_min,emisja_co2_redukcja,wersja_rpp,kod_rpp,data_wyrejestrowania,przyczyna_wyrejestrowania,data_wprowadzenia_danych,akt_miejsce_rej_wojwe,akt_miejsce_rej_powiat,akt_miejsce_rej_gmina,siedziba_wlasciciela_woj,siedziba_wlasciciela_pow,siedziba_wlasciciela_gmina,data_pierwszej_rej_w_kraju,createtimestamp,modifytimestamp,siedziba_wlasciciela_woj_teryt,akt_miejsce_rej_wojew_teryt,emisja_co2,emisja_co2_pal_alternatywne1
18366095070545,OPEL,,---,"ASTRA 1,6 KAT",---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1991,FABRYCZNY,1991-11-21,2013-07-19,1991-11-21,1598.00,,55.00,,950,,1475,1475,,,,2,7,7,1000,500,5,5,,BENZYNA,,,,,,T,,,N,,002240001000000,,,,,,9,03,2016-08-12,PRZEKAZANIE POJAZDU DO DEMONTAŻU,2017-10-17,KUJAWSKO-POMORSKIE,ŻNIŃSKI,ŻNIN,KUJAWSKO-POMORSKIE,ŻNIŃSKI,JANOWIEC WIELKOPOLSKI,2005-09-01,2019-03-15,2019-03-15,04,04,,
83995829397929,URSUS,,,C 355,,,CIĄGNIK ROLNICZY,KOŁOWY,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1975,FABRYCZNY,1975-02-09,2004-12-09,,3120.00,,1.00,,99999,,2680,,2100,,,2,1,1,,,999,999,,OLEJ NAPĘDOWY,,,,,,N,,,B,,,,,,,,,,,,,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,KUJAWSKO-POMORSKIE,BYDGOSKI,KORONOWO,1975-02-09,2019-03-15,2019-03-15,04,04,,
28177381247125,SEAT,13,6J,IBIZA,SCCBZBX0,SGNFM52T1067MJGI,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2014,FABRYCZNY,2015-01-22,2015-01-22,,1197.00,,77.00,,1015,,1580,1580,,,2780,2,8,8,1200,540,5,5,,BENZYNA,,,5.10,,1282,N,,,T,SEAT S.A.,002580002002412,,1449,1445.0,1441,,1,0306000,,,,KUJAWSKO-POMORSKIE,GRUDZIĄDZ,GRUDZIĄDZ,KUJAWSKO-POMORSKIE,GRUDZIĄDZ,GRUDZIĄDZ,2015-01-22,2019-03-15,2019-03-15,04,04,119.0,
82981613318272,AUDI,,---,A6 3.0 TDI,---,---,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,2004,FABRYCZNY,2004-08-09,2019-03-13,2004-08-09,2967.00,,165.00,,1840,,2345,2345,505,,4305,2,13,13,1900,750,5,5,,OLEJ NAPĘDOWY,,,,,,N,,,N,,002140003000000,,,,,,9,03,,,,KUJAWSKO-POMORSKIE,TORUŃ,TORUŃ,,,,2009-05-20,2019-03-15,2019-03-15,,04,,
13375033983928,,,,,,,PRZYCZEPY CIĘŻAROWE UNIWE,O LADOWNOSCI DO 8T,,,,1987,,1987-05-27,2000-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,B,,,,,,,,,,2000-07-08,,2017-10-17,KUJAWSKO-POMORSKIE,,,,,,1987-05-27,2019-03-15,2019-03-15,,04,,
1805236727004,ROMET MOTORS,2,B1,,00,00,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2009,FABRYCZNY,2010-10-06,2010-10-06,,49.00,0.0272,2.50,,92,,242,,,,,2,2,2,,,2,2,,BENZYNA,,,,,,N,,,T,,042470000000049,,,,,,1,0100000,,,,KUJAWSKO-POMORSKIE,TORUŃ,TORUŃ,KUJAWSKO-POMORSKIE,TORUŃSKI,LUBICZ,2010-10-06,2019-03-15,2019-03-15,04,04,,
72572279928593,BMW,11111111,---,318 I,---,---,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. IMPORT INDYW,ORYGINALNA,2000,FABRYCZNY,2000-02-04,2013-01-29,2000-02-04,1895.00,,87.00,,1285,,1785,1785,,,3185,2,10,10,1400,680,5,5,,BENZYNA,,,,,,N,,N,B,,002160434000000,,,,,,9,03,,,,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,,,,2013-01-29,2019-03-15,2019-03-15,,04,,
54789974538952,VOLKSWAGEN,11111111,---,GOLF,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1992,FABRYCZNY,1992-06-11,2018-06-21,1992-06-11,1391.00,,44.00,,960,,1470,1470,510,,,2,,,800,,5,5,,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),,,,,N,,N,N,,002170020000000,,,,,,9,03,2018-09-26,PRZEKAZANIE POJAZDU DO DEMONTAŻU,2018-09-26,KUJAWSKO-POMORSKIE,ALEKSANDROWSKI,ALEKSANDRÓW KUJAWSKI,,,,2004-07-09,2019-03-15,2019-03-15,,04,,
23529570970579,AUDI,,,80,,,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1989,FABRYCZNY,1990-05-15,2003-01-20,,1760.00,,,,1030,,1490,1490,,,,2,12,12,1200,560,5,5,,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),,,,,T,,,N,,,,,,,,,,,,,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,INOWROCŁAW,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,INOWROCŁAW,1990-05-15,2019-03-15,2019-03-15,04,04,,
637403526718025,VOLKSWAGEN,13,5N,TIGUAN,ACCBABX1,AM6AM6A6006NDST7MB,SAMOCHÓD OSOBOWY,KOMBI,---,UŻYW. IMPORT INDYW,ORYGINALNA,2008,FABRYCZNY,2008-09-03,2019-06-19,2008-09-03,1968.00,,103.00,,1590,,2240,2240,,,4440,2,11,11,2200,750,5,5,,OLEJ NAPĘDOWY,,,6.90,,,N,,N,B,VOLKSWAGEN AG,002170124000081,,,,,,1,0303000,,,,KUJAWSKO-POMORSKIE,RADZIEJOWSKI,RADZIEJÓW,,,,2019-06-19,2019-07-09,2019-10-01,,04,182.0,
